provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalRelevant,argus-media-9498257760582091532,0,0,true,19,27,27
AlphabeticalComplete,random-20-8,0,2,true,85,49,49
AlphabeticalUnsound,random-100-10,0,0,true,310,522,522
AlphabeticalUnsound,argus-axum-7673184455178036491,0,0,true,31,108,108
AlphabeticalUnsound,argus-diesel-15648008676699765325,0,0,true,310,198,198
AlphabeticalUnsound,manual-5,0,2,true,73,210,210
AlphabeticalRelevant,argus-diesel-2829387904342691312,0,1,true,136,71,71
AlphabeticalComplete,argus-diesel-12280181414965390748,0,2,true,98,61,61
AlphabeticalComplete,random-10-4,0,2,true,23,29,29
AlphabeticalRelevant,argus-media-9498257760582091532,0,1,true,19,27,27
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,2,true,33,102,102
AlphabeticalComplete,manual-10,0,1,true,131,67,67
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,0,true,71,37,37
AlphabeticalRelevant,random-10-4,0,0,true,23,23,23
AlphabeticalUnsound,argus-hello-server-7267590467205405362,0,1,true,68,132,132
AlphabeticalUnsound,argus-axum-7673184455178036491,0,1,true,31,108,108
AlphabeticalRelevant,argus-media-9498257760582091532,0,2,true,19,27,27
AlphabeticalRelevant,argus-axum-18382130072991789967,0,2,true,56,34,34
AlphabeticalRelevant,random-20-5,0,1,true,69,36,36
AlphabeticalUnsound,random-40-8,0,2,true,60,234,234
AlphabeticalRelevant,random-20-6,0,2,true,106,35,35
AlphabeticalComplete,manual-1,0,2,true,69,47,47
AlphabeticalRelevant,random-10-4,0,1,true,23,23,23
AlphabeticalUnsound,argus-axum-8866031756020282294,0,2,true,90,174,174
AlphabeticalRelevant,random-20-8,0,0,true,63,22,22
AlphabeticalUnsound,argus-axum-7673184455178036491,0,2,true,31,108,108
AlphabeticalUnsound,argus-axum-6256519327200940257,0,0,true,105,198,198
AlphabeticalUnsound,random-30-9,0,0,true,32,174,174
AlphabeticalRelevant,random-20-7,0,0,true,82,28,28
AlphabeticalRelevant,random-10-4,0,2,true,23,23,23
AlphabeticalUnsound,random-50-7,0,1,true,107,288,288
AlphabeticalComplete,random-30-2,0,0,true,265,105,105
AlphabeticalUnsound,random-10-5,0,0,true,4,42,42
AlphabeticalComplete,argus-diesel-2829387904342691312,0,2,true,121,74,74
AlphabeticalUnsound,random-10-5,0,1,true,4,42,42
AlphabeticalUnsound,random-10-5,0,2,true,4,42,42
AlphabeticalUnsound,random-110-8,0,0,true,405,600,600
AlphabeticalComplete,argus-axum-11184278655555968588,0,0,true,295,74,74
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,1,true,71,37,37
AlphabeticalUnsound,argus-hello-server-7267590467205405362,0,2,true,68,132,132
AlphabeticalUnsound,argus-diesel-15009615579564917699,0,0,true,410,246,246
AlphabeticalRelevant,random-20-5,0,2,true,70,36,36
AlphabeticalRelevant,manual-1,0,0,true,51,26,26
AlphabeticalUnsound,random-30-9,0,1,true,32,174,174
AlphabeticalUnsound,random-60-6,0,1,true,142,354,354
AlphabeticalComplete,random-10-5,0,0,true,22,23,23
AlphabeticalComplete,argus-axum-16221033744433962440,0,1,true,422,94,94
AlphabeticalUnsound,argus-axum-2355552700190003252,0,0,true,79,150,150
AlphabeticalUnsound,manual-6,0,0,true,4,42,42
AlphabeticalComplete,argus-axum-16221033744433962440,0,0,true,428,94,94
AlphabeticalRelevant,random-20-8,0,1,true,63,22,22
AlphabeticalUnsound,manual-6,0,1,true,4,42,42
AlphabeticalUnsound,manual-6,0,2,true,4,42,42
AlphabeticalComplete,random-10-5,0,1,true,22,23,23
AlphabeticalUnsound,random-30-10,0,0,true,32,168,168
AlphabeticalComplete,manual-7,0,1,true,179,74,74
AlphabeticalRelevant,argus-diesel-2829387904342691312,0,2,true,136,71,71
AlphabeticalUnsound,random-30-9,0,2,true,32,174,174
AlphabeticalComplete,argus-axum-8856632446763557465,0,0,true,251,71,71
AlphabeticalComplete,manual-6,0,0,true,24,26,26
AlphabeticalComplete,manual-10,0,2,true,131,67,67
AlphabeticalRelevant,manual-1,0,1,true,51,26,26
AlphabeticalComplete,random-10-5,0,2,true,21,23,23
AlphabeticalComplete,argus-axum-10310841651143324696,0,0,true,462,82,82
AlphabeticalRelevant,random-20-7,0,1,true,83,28,28
