provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalRelevant,argus-axum-8856632446763557465,0,2,true,1,4,4
AlphabeticalRelevant,argus-chumsky-7080345814600703276,0,2,false,25,26,26
AlphabeticalUnsound,argus-axum-10310841651143324696,0,2,true,41,132,132
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,1,true,2,6,6
AlphabeticalComplete,argus-uom-4056355276583185919,0,1,true,3,11,11
AlphabeticalRelevant,argus-axum-7449751244533988244,0,2,true,4,4,4
AlphabeticalUnsound,argus-axum-18352723104139980097,0,0,true,42,132,132
AlphabeticalRelevant,argus-axum-7673184455178036491,0,2,true,3,8,8
AlphabeticalUnsound,argus-diesel-1094926252705493355,0,0,true,34,156,156
AlphabeticalUnsound,argus-axum-18352723104139980097,0,1,true,41,132,132
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,2,true,2,6,6
AlphabeticalUnsound,argus-axum-6361058880873831381,0,0,true,45,120,120
AlphabeticalComplete,argus-uom-4056355276583185919,0,2,true,3,11,11
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,0,true,0,12,12
AlphabeticalComplete,argus-chumsky-11676463297315425816,0,0,true,20,28,28
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,1,true,0,12,12
AlphabeticalUnsound,argus-diesel-2315795211719089505,0,0,true,46,180,180
AlphabeticalRelevant,argus-axum-396255765337843740,0,1,true,8,12,12
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,2,true,0,12,12
AlphabeticalUnsound,argus-axum-8866031756020282294,0,0,true,6,18,18
AlphabeticalRelevant,argus-axum-396255765337843740,0,2,true,5,12,12
AlphabeticalUnsound,argus-axum-18352723104139980097,0,2,true,38,132,132
AlphabeticalComplete,argus-axum-16221033744433962440,0,0,true,48,15,15
AlphabeticalUnsound,argus-axum-17497105317668159604,0,2,true,15,48,48
AlphabeticalRelevant,argus-uom-4056355276583185919,0,0,true,3,11,11
AlphabeticalUnsound,argus-axum-15641753760587755699,0,2,true,23,78,78
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,1,true,10,72,72
AlphabeticalComplete,argus-bevy-4396782807146839494,0,0,true,4,10,10
AlphabeticalRelevant,argus-uom-4056355276583185919,0,1,true,3,11,11
AlphabeticalUnsound,argus-axum-1337639213112565491,0,0,true,52,144,144
AlphabeticalUnsound,argus-axum-12393876099641280534,0,2,true,32,114,114
AlphabeticalUnsound,argus-axum-8866031756020282294,0,1,true,6,18,18
AlphabeticalComplete,argus-bevy-4396782807146839494,0,1,true,4,10,10
AlphabeticalUnsound,argus-diesel-15009615579564917699,0,0,true,10,90,90
AlphabeticalRelevant,argus-uom-4056355276583185919,0,2,true,3,11,11
AlphabeticalUnsound,argus-axum-6361058880873831381,0,1,true,24,120,120
AlphabeticalUnsound,argus-uom-61668792546008267,0,0,true,0,6,6
AlphabeticalUnsound,argus-uom-61668792546008267,0,1,true,0,6,6
AlphabeticalUnsound,argus-uom-61668792546008267,0,2,true,0,6,6
AlphabeticalRelevant,argus-chumsky-7080345814600703276,0,0,false,48,26,26
AlphabeticalComplete,argus-chumsky-7080345814600703276,0,1,true,26,30,30
AlphabeticalComplete,argus-uom-61668792546008267,0,0,true,0,2,2
AlphabeticalComplete,argus-uom-61668792546008267,0,1,true,0,2,2
AlphabeticalComplete,argus-uom-61668792546008267,0,2,true,0,2,2
AlphabeticalComplete,argus-bevy-4396782807146839494,0,2,true,4,10,10
AlphabeticalRelevant,argus-uom-61668792546008267,0,0,true,0,2,2
AlphabeticalUnsound,argus-axum-8866031756020282294,0,2,true,6,18,18
AlphabeticalRelevant,argus-axum-16221033744433962440,0,0,true,42,12,12
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,2,true,10,72,72
AlphabeticalRelevant,argus-uom-61668792546008267,0,1,true,0,2,2
AlphabeticalRelevant,argus-uom-61668792546008267,0,2,true,0,2,2
AlphabeticalUnsound,argus-uom-8698853219055427700,0,0,true,0,6,6
AlphabeticalUnsound,argus-uom-8698853219055427700,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-15073555522447742375,0,2,true,26,90,90
AlphabeticalUnsound,argus-uom-8698853219055427700,0,2,true,0,6,6
AlphabeticalRelevant,argus-bevy-4396782807146839494,0,0,true,4,10,10
AlphabeticalComplete,argus-uom-8698853219055427700,0,0,true,1,4,4
AlphabeticalComplete,argus-uom-8698853219055427700,0,1,true,1,4,4
AlphabeticalComplete,argus-chumsky-11676463297315425816,0,1,true,20,28,28
AlphabeticalUnsound,argus-diesel-15009615579564917699,0,1,true,10,90,90
AlphabeticalComplete,argus-uom-8698853219055427700,0,2,true,1,4,4
AlphabeticalRelevant,argus-uom-8698853219055427700,0,0,true,1,4,4
AlphabeticalRelevant,argus-bevy-4396782807146839494,0,1,true,4,10,10
AlphabeticalRelevant,argus-uom-8698853219055427700,0,1,true,1,4,4
AlphabeticalUnsound,argus-axum-6256519327200940257,0,2,true,33,120,120
AlphabeticalRelevant,argus-uom-8698853219055427700,0,2,true,1,4,4
AlphabeticalUnsound,argus-axum-6256519327200940257,0,0,true,72,120,120
